 32G	release-proof
 31G	daily-editorial
 26G	disneyplus-support-general
 26G	cats
 22G	onepuppy
 21G	dplus-originals_artwork
 20G	dss-adops-dailyplatformreporting
 20G	dlp-data-validation-prod
 17G	makers-at-disney
 14G	onekitty
 14G	dlp-data-validation-stage
 13G	graphics-open-hour
 12G	dse-grafana-alerts-lowers
 11G	mpe-nve-mediax
 11G	dlp-e2e-nrt-app
 11G	bunsen-and-beakers-lab
 10G	internal-discussion_analytics
 10G	celebratingdisney
9.3G	disneycentralwahexperience
9.2G	dlp_test_rocky
9.0G	hey_disney_qa_videos
8.6G	dlp_mobile_testing_discussions
7.9G	ds-it-support-plus
7.6G	report-vod-issues
6.7G	dprd-vision-releases
6.4G	dx_tech_and_digital
6.3G	dee-technology_woodlands
6.3G	_memes
6.1G	scribbles
6.0G	lt-alert-nofitication
6.0G	espnlearninglowdown
5.9G	globalscape-filemover-prod
5.9G	ad-cops
5.8G	mena-testing-lifecycle
5.2G	enos-scoring
5.2G	disney-pride
5.0G	disneycreatives
4.9G	dee-applause-work-requests
4.7G	dee-arm-requests
4.6G	nomadic-star
4.6G	dine_remy_deployment
4.6G	das-ad-policy
4.5G	dsdisplay-yahoo
4.4G	dine-mobile-tech-moo
4.3G	inside-espn
4.3G	inside_enterprisetech
4.3G	dogs
4.3G	amp_ops
4.2G	seattle-watercooler
4.2G	hulu-xp-analysts
4.2G	dine_apps_deployment
4.1G	noir-dc
4.1G	disneyplus-dsce
4.1G	bsg-cdp-neutron
4.0G	in-stream-promos-tech
4.0G	commerce_ui_prod_deploy
3.9G	hypercare-hulk-and-rebrand
3.8G	partnerships_all
3.8G	md-general
3.8G	disney-naatv
3.7G	pkg-v7-2-0-taffyta-disneyplus
3.6G	mas-plus
3.6G	dx-profile-vertical
3.5G	pets-of-nat-geo
3.4G	amvs_dci_alerts
3.2G	aoe-monitor-prod
3.2G	adaptive-payment-help
3.2G	3d-printing-makers
3.1G	resource-orlando
3.1G	pe-eps-support
3.1G	papausers
3.1G	ensemble_qa
3.1G	dx-studio-mars
3.1G	dx-studio-grogu
3.1G	dlp-dge-test-team
3.1G	booking_service_prod_deploy
2.9G	discovery-feedback
2.9G	commerce_critiques
2.8G	gamers-shared
2.8G	espntrust
2.8G	dse-grafana-alerts-test
2.8G	dcl-dxp-portmod-qa
2.8G	cme-deployment-support
2.7G	salaam-muslimsatdisney
2.7G	saf-pending-support
2.7G	pride-abcn-otv
2.7G	mass-msse-support
2.6G	order_graphics
2.6G	gco_dmed_tech
2.6G	dpep-studio-rhino
2.6G	disney-voluntears
2.6G	apex-la
2.5G	christians-at-disney
2.4G	secrets-of-elephants-digital
2.4G	ral_gitlab_info
2.4G	proton-support
2.4G	dx-studio-northstar
2.4G	ad-infrastructure
2.3G	ng-digital-ops-help
2.3G	gc3-come-and-get-it
2.3G	ds-emea-core
2.2G	random
2.2G	localization_design
2.2G	gaming
2.2G	erto-stuff-and-things
2.2G	dx-studio-food-and-fun
2.1G	pcs_deployments
2.1G	local-sales-dcm
2.1G	lexvas_prod_deployment
2.1G	let_lower_env_triage_core_commerce
2.1G	latam-launch-artwork
2.1G	dxtd_orlando_kp2
2.1G	dx-studio-valhalla
2.1G	dvic-banner-svc-release
2.1G	capps-memes
2.1G	ask-wall-e
2.0G	shalom
2.0G	mdx-pep-ui-releases
2.0G	jeta
2.0G	impact
2.0G	goosebumps-tripleplay
2.0G	dx_pets
2.0G	dvic_spa_prod_deployment
2.0G	adsales_delivery_dcdj
2.0G	4th-ave-seattle-wa
1.9G	scavengers
1.9G	ny-office
1.9G	disney-triathlon-team
1.8G	post-it-review
1.8G	pal-integration
1.8G	ngmedia
1.8G	midwest-team
1.8G	imagecollection
1.8G	dss-general
1.8G	disneyplus_live
1.8G	disneyland-club
1.8G	dc_pub_triage
1.8G	csi-qa
1.8G	core_collab_core_sales
1.8G	ask-dcl-web
1.7G	oneidbugbash-archived
1.7G	offer-bizops
1.7G	dscs-batch-prod
1.7G	dprd-studio-dvic
1.7G	capps-anet-cms-replacement
1.7G	birbsofgeo
1.6G	sherlock
1.6G	ny-musicians
1.6G	int_spacefish_illfonic
1.6G	identity-help
1.6G	hulu-content-operations
1.6G	help-slack
1.6G	espn_pulse_erg
1.6G	dvctech_schneckteam
1.6G	dse-connectedproducts-watercooler
1.6G	analytics_highlights
1.5G	shdr-finder-revamp-archived
1.5G	seabc-notif-monitor
1.5G	ng-audio-social
1.5G	maxwo_hh_team
1.5G	kidsmedia
1.5G	greatnatgeobakeoff
1.5G	espnsalute
1.5G	dx-itinerary-vert
1.5G	dlp-pcs_release_test
1.5G	dlp_pkg_general
1.5G	disneyplus-project-paddock
1.5G	disney_p4_fyc_creative
